Sample_ID,Label,UTM_Est,UTM_Nord,Olive_Weight,Major_Olive_Axis,Leaf_Area
AUL1,CE,534267.413,4492947.504,1.436,1.814,4.81233333333333
AUL2,CE,534264.37,4492946.713,1.511,1.997,6.52866666666667
AUL3,CE,534430.35,4491933.233,1.764,1.882,5.06666666666667
AUL4,CE,534446.498,4491955.508,1.58866666666667,1.848,5.82333333333333
AUL5,CE,534715.368,4491760.944,1.96266666666667,1.895,3.08666666666667
AUL6,CE,534868.4,4491583.06,1.28333333333333,1.735,4.813
AUL7,CE,535497.58,4491437.24,1.37466666666667,1.794,5.22033333333333
AUL8,CE,535539.75,4491087.73,1.56333333333333,1.741,3.32133333333333
AUL9,CE,536713.234,4490091.352,1.42733333333333,1.659,5.256
AUL10,CE,536793.104,4490152.798,1.24133333333333,1.686,5.61965517241379
AUL11,CE,537281.8,4490567.494,2.088,1.941,5.04
AUL12,CE,537330.658,4490564.964,1.07833333333333,1.584,5.11620689655172
AUL13,CE,536570.543,4488515.521,1.41633333333333,1.652,4.37655172413793
AUL14,CE,536566.01,4488489.268,1.39733333333333,1.616,4.24967741935484
AUL15,CE,536231.947,4488509.527,1.88666666666667,2.081,4.89
AUL16,CE,536282.429,4488478.995,2.211,2.128,4.93818181818182
BUC1,CE,532727.802,4495565.835,2.35,2.586,5.29733333333333
BUC3,CE,532150.142,4495122.742,2.451,2.137,3.94466666666667
BUC4,CE,532126.319,4495094.888,2.25366666666667,2.054,5.006
BUC5,CE,529401.035,4493959.384,2.21233333333333,1.86,3.51448275862069
BUC6,CE,529403.429,4493953.066,1.745,1.846,2.843
BUC7,CE,526891.419,4495352.099,1.80433333333333,1.843,3.619
BUC8,CE,526953.777,4495349.66,1.005,1.467,5.122
BUC10,CE,528045.836,4494659.587,2.00833333333333,1.948,3.21870967741935
CAG1,CE,538327.991,4490677.031,1.05033333333333,1.284,5.37633333333333
CAG2,CE,538296.13,4490749.131,1.20433333333333,1.475,4.78967741935484
CAG3,CE,538800.987,4490376.989,1.632,1.639,5.09241379310345
