Sample_ID,Label,UTM_Est,UTM_Nord,UDO36_FAM,UDO6_HEX,UDO17_FAM,GAPU59_HEX,GAPU71B_FAM,UDO39_HEX
AUL1,CE,534267.413,4492947.504,144/152,146/172,162/162,206/210,120/140,170/170
AUL2,CE,534264.37,4492946.713,144/152,144/170,160/162,206/210,120/140,170/170
AUL3,CE,534430.35,4491933.233,144/152,146/172,162/162,206/210,120/140,170/170
AUL4,CE,534446.498,4491955.508,144/152,146/172,152/162,206/210,120/140,170/170
AUL5,CE,534715.368,4491760.944,144/152,146/172,152/162,206/210,120/140,170/170
AUL6,CE,534868.4,4491583.06,144/152,146/172,160/162,206/210,120/140,170/170
AUL7,CE,535497.58,4491437.24,144/152,146/172,160/162,206/210,120/140,170/170
AUL8,CE,535539.75,4491087.73,144/152,146/172,152/162,206/210,120/140,170/170
AUL9,CE,536713.234,4490091.352,144/152,146/172,NA,206/210,120/140,170/170
AUL10,CE,536793.104,4490152.798,144/152,146/172,160/162,206/210,120/140,170/170
AUL11,CE,537281.8,4490567.494,144/152,146/146,154/162,206/210,120/140,170/176
AUL12,CE,537330.658,4490564.964,144/152,146/172,152/162,204/204,120/140,170/170
AUL13,CE,536570.543,4488515.521,144/144,146/172,152/162,206/210,120/140,170/170
AUL14,CE,536566.01,4488489.268,144/152,146/172,162/162,210/210,120/140,170/170
AUL15,CE,536231.947,4488509.527,144/152,144/170,NA,206/206,120/120,170/170
AUL16,CE,536282.429,4488478.995,144/152,146/146,162/162,206/210,120/140,170/176
BUC1,CE,532727.802,4495565.835,144/144,146/172,162/162,206/210,120/140,170/170
BUC3,CE,532150.142,4495122.742,144/152,146/172,160/162,206/210,120/140,170/170
BUC4,CE,532126.319,4495094.888,144/152,146/172,160/162,206/210,120/140,170/170
BUC5,CE,529401.035,4493959.384,144/152,146/146,156/162,206/210,120/140,170/176
BUC6,CE,529403.429,4493953.066,144/152,146/172,152/162,206/210,120/140,170/170
BUC7,CE,526891.419,4495352.099,144/152,146/172,162/162,206/210,120/140,170/170
BUC8,CE,526953.777,4495349.66,144/144,146/146,160/162,206/210,120/140,170/176
BUC10,CE,528045.836,4494659.587,144/152,146/172,152/162,206/210,120/140,170/170
CAG1,CE,538327.991,4490677.031,144/144,146/172,152/162,206/210,120/140,170/170
CAG2,CE,538296.13,4490749.131,144/152,146/172,162/162,206/210,120/140,170/170
CAG3,CE,538800.987,4490376.989,144/152,146/172,154/162,206/210,120/140,170/170
CAG4,CE,538802.953,4490357.129,144/152,146/172,160/162,206/210,120/140,170/170
CAG5,CE,540274.39,4490086.2,144/152,146/172,150/152,206/210,120/140,170/170
CAG6,CE,540391.997,4490133.454,144/152,146/172,152/162,206/210,120/140,170/170
CAG7,CE,540447.444,4490087.577,144/144,146/172,160/162,206/210,120/140,170/170
CAG8,CE,540483.849,4490087.33,144/152,146/172,NA,206/210,120/140,170/170
CAG9,CE,539534.417,4489697.274,144/144,146/172,152/162,206/210,120/140,170/170
CAG10,CE,539535.744,4489734.467,144/152,146/172,NA,206/210,120/140,170/170
PER1,CE,538213.492,4488272.977,144/152,146/172,160/162,206/210,120/140,170/170
PER2,CE,538209.2,4488366.976,144/152,146/172,160/162,206/210,120/140,170/170
PER3,CE,538227.354,4488343.98,144/152,146/172,160/162,206/210,120/140,170/170
PER4,CE,537454.032,4488534.871,144/152,146/172,NA,206/210,120/140,170/170
PER5,CE,537464.207,4488532.036,144/144,146/172,152/162,206/210,120/140,170/170
PER6,CE,537368.092,4488719.373,144/152,146/172,152/162,206/210,120/140,170/170
PER7,CE,537374.431,4488670.896,144/152,146/172,152/162,206/210,120/140,170/170
PER8,CE,537386.547,4488652.53,144/144,146/172,NA,206/210,120/140,170/170
PER9,CE,537292.681,4488712.335,144/152,146/172,152/162,206/210,120/140,170/170
PER10,CE,537300.273,4488752.002,144/152,146/172,162/162,206/210,120/140,170/170
PET1,CE,533537.035,4490079.06,144/152,146/146,162/162,206/210,120/140,170/176
PET2,CE,533513.788,4490090.277,144/152,146/172,162/162,206/210,120/140,170/170
PET3,CE,533529.536,4489581.397,144/152,146/172,162/162,206/210,120/140,170/170
PET4,CE,533509.645,4489580.197,144/152,146/172,162/162,206/210,120/140,170/170
PET5,CE,533490.844,4489562.574,144/152,146/172,NA,206/210,120/140,170/170
PET6,CE,533481.07,4489533.114,144/144,146/172,162/162,210/214,120/140,170/170
PET7,CE,533508.2,4489506.151,144/152,146/172,NA,206/210,120/140,170/170
PET7BIS,CE,533519.576,4489536.839,144/152,146/172,152/162,206/210,120/140,170/170
PET8,CE,533488.676,4489536.257,144/144,146/172,152/162,206/210,120/140,170/170
SALV1,CE,538445.711,4495143.411,144/152,146/172,152/162,206/210,120/140,170/170
SALV2,CE,538469.812,4495167.512,144/152,146/172,152/162,206/210,120/140,170/170
SALV3,CE,539846.111,4494049.211,144/152,146/146,154/162,206/210,120/140,170/176
SALV4,CE,539846.111,4494049.211,144/152,146/172,NA,206/210,120/140,170/170
SALV5,CE,537690.265,4493830.312,144/152,146/146,156/162,206/210,120/140,170/176
SALV6,CE,537707.789,4493828.624,144/152,146/172,152/162,206/210,120/140,170/170
SALV7,CE,538097.087,4493602.378,144/144,146/146,154/162,206/210,120/140,170/176
SALV11,CE,538510.023,4493293.243,144/152,146/172,162/162,206/210,120/140,170/170
